Year,County,"Attempts/threats to murder, assaults, harassments and related offences",Burglary and related offences,Controlled drug offences,Damage to property and to the environment,"Fraud, deception and related offences",Public order and other social code offences,Theft and related offences,Total
2003,Carlow,163.0,390.0,143.0,277.0,46.0,536.0,604.0,2159.0
2003,Cavan,300.0,242.0,94.0,323.0,45.0,534.0,533.0,2071.0
2003,Clare,375.0,345.0,181.0,700.0,95.0,693.0,1079.0,3468.0
2003,Cork,1630.0,1699.0,1195.0,3482.0,347.0,5542.0,6201.0,20096.0
2003,Donegal,761.0,565.0,309.0,1200.0,142.0,2142.0,1317.0,6436.0
2003,Dublin,3685.0,11051.0,3059.0,14044.0,1389.0,15415.0,37229.0,85872.0
2003,Galway,619.0,977.0,341.0,1227.0,129.0,1993.0,2707.0,7993.0
2003,Kerry,393.0,322.0,201.0,537.0,57.0,1805.0,1216.0,4531.0
2003,Kildare,552.0,1239.0,541.0,1097.0,157.0,1798.0,2332.0,7716.0
2003,Kilkenny,193.0,381.0,277.0,213.0,94.0,911.0,702.0,2771.0
2003,Laois,139.0,296.0,132.0,250.0,24.0,287.0,726.0,1854.0
2003,Leitrim,86.0,82.0,25.0,140.0,13.0,171.0,202.0,719.0
2003,Limerick,709.0,1076.0,408.0,2192.0,208.0,1632.0,3870.0,10095.0
2003,Longford,144.0,221.0,65.0,238.0,22.0,436.0,438.0,1564.0
2003,Louth,489.0,727.0,146.0,1111.0,105.0,1142.0,1843.0,5563.0
2003,Mayo,385.0,346.0,91.0,709.0,88.0,1239.0,1053.0,3911.0
2003,Meath,271.0,819.0,140.0,581.0,41.0,439.0,1253.0,3544.0
2003,Monaghan,296.0,238.0,97.0,328.0,48.0,681.0,567.0,2255.0
2003,Offaly,289.0,341.0,126.0,410.0,44.0,848.0,791.0,2849.0
2003,Roscommon,153.0,147.0,26.0,241.0,26.0,328.0,334.0,1255.0
2003,Sligo,214.0,323.0,114.0,938.0,50.0,412.0,853.0,2904.0
2003,Tipperary,418.0,589.0,422.0,766.0,104.0,1154.0,1231.0,4684.0
2003,Waterford,378.0,850.0,659.0,801.0,139.0,2234.0,1904.0,6965.0
2003,Westmeath,285.0,594.0,103.0,623.0,49.0,888.0,1280.0,3822.0
2003,Wexford,323.0,753.0,199.0,606.0,115.0,859.0,1270.0,4125.0
2003,Wicklow,286.0,1142.0,201.0,988.0,60.0,1023.0,1887.0,5587.0
2004,Carlow,184.0,427.0,133.0,286.0,38.0,650.0,668.0,2386.0
2004,Cavan,328.0,257.0,96.0,338.0,74.0,790.0,558.0,2441.0
2004,Clare,284.0,279.0,209.0,689.0,60.0,825.0,1049.0,3395.0
2004,Cork,1521.0,1715.0,1329.0,3802.0,312.0,5700.0,6400.0,20779.0
2004,Donegal,666.0,512.0,216.0,1163.0,89.0,2277.0,1262.0,6185.0
2004,Dublin,3833.0,10930.0,3307.0,16680.0,1119.0,16607.0,37029.0,89505.0
2004,Galway,651.0,720.0,378.0,1187.0,100.0,1969.0,2571.0,7576.0
2004,Kerry,424.0,382.0,171.0,615.0,50.0,1782.0,1064.0,4488.0
2004,Kildare,480.0,1168.0,541.0,1139.0,130.0,1679.0,2244.0,7381.0
2004,Kilkenny,218.0,329.0,284.0,306.0,83.0,813.0,734.0,2767.0
2004,Laois,146.0,269.0,236.0,270.0,38.0,355.0,636.0,1950.0
2004,Leitrim,96.0,71.0,21.0,150.0,18.0,333.0,213.0,902.0
2004,Limerick,650.0,1097.0,649.0,2096.0,170.0,1966.0,3390.0,10018.0
2004,Longford,178.0,214.0,61.0,240.0,15.0,404.0,490.0,1602.0
2004,Louth,350.0,860.0,127.0,1167.0,103.0,1098.0,1778.0,5483.0
2004,Mayo,386.0,230.0,79.0,628.0,87.0,1024.0,864.0,3298.0
2004,Meath,271.0,707.0,170.0,730.0,101.0,528.0,1527.0,4034.0
2004,Monaghan,302.0,136.0,90.0,355.0,52.0,871.0,420.0,2226.0
2004,Offaly,297.0,428.0,130.0,357.0,77.0,688.0,755.0,2732.0
2004,Roscommon,122.0,155.0,46.0,198.0,27.0,230.0,379.0,1157.0
2004,Sligo,182.0,257.0,92.0,620.0,50.0,428.0,693.0,2322.0
2004,Tipperary,450.0,598.0,357.0,793.0,86.0,1782.0,1276.0,5342.0
